Year,Date,Location,Latitude,Longitude,Altitude,fileName,pid_tn,pid_jpeg,pid_tiff,_merge
1980.0,10/9/80,Nisqwally Glacier,46.783085,-121.75054899999999,,NAGAP_80V1_132,urn:uuid:53ffd496-49de-4ef2-bb3c-94dec8ea6ac3,urn:uuid:e34144bc-fbfa-4415-a0e1-09168fb3c743,urn:uuid:c20245a6-75a1-4f96-9e43-f6958b721d47,both
1980.0,10/9/80,Nisqwally Glacier,46.790766,-121.74991599999998,,NAGAP_80V1_133,urn:uuid:186369e7-0989-440b-892f-71b619924814,urn:uuid:27a79d95-8fac-422f-875f-76f53739271c,urn:uuid:620a1237-7136-4fdc-aefc-af47c181e6fc,both
1980.0,10/9/80,Nisqwally Glacier,46.797579,-121.74672,,NAGAP_80V1_134,urn:uuid:7987d392-25ff-42f4-a8c9-dc4955e60baa,urn:uuid:cf5cc124-2603-4f86-b5ea-c35cd8f99134,urn:uuid:b952877f-1bbc-4b95-a42b-204c74922aa2,both
1980.0,10/9/80,Nisqwally Glacier,46.793029,-121.73015600000001,,NAGAP_80V1_136,urn:uuid:19cf3fc3-2189-4a2a-bcef-bf8ab6327f77,urn:uuid:d88bc812-f8b5-458f-8166-b48a9e69c4dc,urn:uuid:76e209d2-e092-4d43-8990-6f9f059ab51c,both
1980.0,10/9/80,Nisqwally Glacier,46.793482,-121.732216,,NAGAP_80V1_137,urn:uuid:5ecdc23c-3fbe-460b-8d97-c045b9d8b71d,urn:uuid:290595a6-3519-416e-b467-a4271ff13617,urn:uuid:5a36c2ea-1f97-41c3-9819-5e2a844fa7aa,both
1980.0,10/9/80,Nisqwally Glacier,46.797829,-121.739061,,NAGAP_80V1_138,urn:uuid:256a81a2-71e1-431f-a1e0-3a7a94c8ebbd,urn:uuid:31df6551-7ce4-4018-b463-c2b88d8cf7a8,urn:uuid:77f94bbc-0a10-4873-bcc9-612875388f9f,both
1980.0,10/9/80,Nisqwally Glacier,46.800385999999996,-121.748167,,NAGAP_80V1_139,urn:uuid:1938142a-8cab-493d-84c5-52adbf69e11c,urn:uuid:00677aaa-4175-470d-b661-42bc12698d45,urn:uuid:4d92771f-95f0-4750-bb1a-e2f04e4fb8b9,both
1980.0,10/9/80,Kautz Glacier,46.809521999999994,-121.77575,,NAGAP_80V1_140,urn:uuid:cd1a2925-7ec7-484e-86f3-138db25c1e4e,urn:uuid:d71890b4-f139-4589-b83c-14604cc6113a,urn:uuid:a1bdf3b6-0a59-4081-a0f2-39c99e82fdab,both
1980.0,10/9/80,Kautz Glacier,46.810407,-121.785545,,NAGAP_80V1_141,urn:uuid:e23866a2-996e-4a6b-b2ac-383a67e87abd,urn:uuid:78a08239-a48f-4590-a51e-8ca5d85462b1,urn:uuid:7bf8bbad-616f-4421-a45e-945aed50d456,both
1980.0,10/9/80,Tahoma Glacier,46.806290000000004,-121.840303,,NAGAP_80V1_146,urn:uuid:760856e5-2948-40d9-a0ec-7ce0a027a97d,urn:uuid:c13f7909-7ccd-4a41-aa67-126b14dfdc05,urn:uuid:d9c16cfb-c41f-4309-ba85-46e6b99af1b2,both
1980.0,10/9/80,Tahoma Glacier,46.808633,-121.82895500000001,,NAGAP_80V1_147,urn:uuid:84e40b86-1d25-41a7-b841-8a32aa847ce9,urn:uuid:96f80fbc-2fa5-4084-b11e-9815f26d4b30,urn:uuid:8afe791e-85d9-4eda-b5f8-ffd58228a8ca,both
1980.0,10/9/80,Tahoma Glacier,46.812028999999995,-121.81548400000001,,NAGAP_80V1_148,urn:uuid:6a721921-382c-43d0-a9b3-8dab907fef67,urn:uuid:13c04cb7-595c-412e-9c61-f4c650af42c7,urn:uuid:3ad35ea0-6975-4131-86e2-3e24e03f6f30,both
1980.0,10/9/80,Tahoma Glacier,46.820717,-121.82933100000001,,NAGAP_80V1_149,urn:uuid:5926fcfc-0327-44b3-8647-890351749db9,urn:uuid:cca2ccc7-aa86-407a-a031-91fd348e963d,urn:uuid:49a6f110-52f4-4182-8cb1-2b97eac04839,both
1980.0,10/9/80,Tahoma Glacier,46.818286,-121.829655,,NAGAP_80V1_150,urn:uuid:ca76f085-89f0-47d0-8423-fe36dcfd213e,urn:uuid:7cd22c07-1f99-402f-95d7-afbf634be035,urn:uuid:e849d1ec-2bd8-49c2-bfa6-f9d63bac8a32,both
