Year,Date,Location,Latitude,Longitude,Altitude,fileName,pid_tn,pid_jpeg,pid_tiff,_merge
1977.0,11/2/97,Nisqally Glacier,46.792866,-121.751368,8100,NAGAP_77V6_263,urn:uuid:730125c8-9126-4df4-83ce-c68545f4f869,urn:uuid:01052ec3-85fa-4a53-b85b-826be9520a44,urn:uuid:25401745-4c2f-429d-8ee5-709149d25024,both
1977.0,11/2/97,Nisqally Glacier,46.790764,-121.75338500000001,8100,NAGAP_77V6_264,urn:uuid:9737fa67-fc70-494d-ae69-7acaae97b461,urn:uuid:2ad5a7f6-d2bf-4107-b884-d97632b97146,urn:uuid:3d8b669f-194d-4004-8108-a64c47bc20d1,both
1977.0,11/2/97,Nisqally Glacier,46.788754,-121.755789,8100,NAGAP_77V6_265,urn:uuid:908c792c-4cdc-4126-820b-5f4e84bc5541,urn:uuid:374a09d3-0fc3-47ca-98a8-7ab6e6d3dd79,urn:uuid:ff32a1aa-8daa-4ace-88d0-8c8845ec3338,both
1977.0,11/2/97,Nisqally Glacier,46.786244,-121.75878700000001,8100,NAGAP_77V6_266,urn:uuid:95283e01-ab9b-4b5c-a428-baa09fe8f4af,urn:uuid:ee8291dd-ba7b-48b9-9b2f-ce96ccc1d22e,urn:uuid:b3fd6b12-6cd1-4d52-a64a-c0aa087c264e,both
1977.0,11/2/97,Nisqally Glacier,46.784054,-121.76134099999999,8100,NAGAP_77V6_267,urn:uuid:5609fbf8-b774-4995-a216-cff8b26bbc69,urn:uuid:55b0c408-71cb-47cd-8f17-297619e6270e,urn:uuid:c55a175d-8dcb-40a3-9375-bb86ba89de37,both
1977.0,11/2/97,Nisqally Glacier,46.797551,-121.74696399999999,7500,NAGAP_77V6_268,urn:uuid:f927f8fc-58aa-45a9-ad85-a2003e9894ed,urn:uuid:4c656aac-b054-4971-a17e-11a895af2896,urn:uuid:545fb53e-4019-47be-ad1b-e4c9d55d6bd6,both
1977.0,11/2/97,Nisqally Glacier,46.796071999999995,-121.748287,7500,NAGAP_77V6_269,urn:uuid:b7c40da9-96cb-41dc-ac02-2083ed98adc5,urn:uuid:bb8570c7-91d3-4228-93fa-242f9a08f6ef,urn:uuid:65095fce-ec63-4a8c-82e6-684f532f7796,both
1977.0,11/2/97,Nisqally Glacier,46.794613,-121.74894499999999,7500,NAGAP_77V6_270,urn:uuid:f2299e8a-c8e7-438c-a0f0-b8ad54f099f4,urn:uuid:2e415fca-89c3-473b-93da-51e954dc57cd,urn:uuid:399570b5-e14d-4301-8fb6-c62bbc76d57b,both
1977.0,11/2/97,Nisqally Glacier,46.791940999999994,-121.750079,7500,NAGAP_77V6_271,urn:uuid:5c30f9d2-3154-4fcc-93ff-616e34ff85e5,urn:uuid:c790f517-d555-4d34-899d-580068ccd4f7,urn:uuid:27b81ffe-8ab1-41bc-917d-887a909a50ac,both
1977.0,11/2/97,Nisqally Glacier,46.790824,-121.751456,7500,NAGAP_77V6_272,urn:uuid:8bb75a48-dbe7-4f7d-ae62-9790978bb301,urn:uuid:7a7bb9b3-a7a8-4cfc-8b48-4c04b5c2745a,urn:uuid:bb42908b-4ca1-49e7-ab90-52af42edfde2,both
1977.0,11/2/97,Nisqally Glacier,46.789603,-121.75299,7500,NAGAP_77V6_273,urn:uuid:d253652a-12e0-4c2f-919b-5105b45d2325,urn:uuid:7cc764ba-c008-4f07-8679-609325d505bf,urn:uuid:d5cfc0d9-6040-416d-a4bd-44bf88abf8a3,both
1977.0,11/2/97,Nisqally Glacier,46.787826,-121.75508300000001,7500,NAGAP_77V6_274,urn:uuid:25d9b410-c5a6-4874-91f2-a8ce00504890,urn:uuid:4149b655-029d-4e73-92d9-19748e2c554e,urn:uuid:1ca632b8-b035-414a-a8f2-81582bd5a2a1,both
1977.0,11/2/97,Nisqally Glacier,46.786120000000004,-121.75724299999999,7500,NAGAP_77V6_275,urn:uuid:c72ccd65-0cd6-4913-b8fc-84deee22c44d,urn:uuid:49b765e7-f608-420d-a23e-4c611a139bc1,urn:uuid:d24b0b06-4665-47ff-af46-a5e66ca6c7dc,both
1977.0,11/2/97,Nisqally Glacier,46.784693,-121.758936,7500,NAGAP_77V6_276,urn:uuid:ec7e39a5-5322-43f9-bb6b-cd4fc3636915,urn:uuid:1c65f041-ac74-40a0-9ab1-29080fe37a94,urn:uuid:79e574b9-7aba-4016-b46e-ee4a079b773c,both
1977.0,11/2/97,Nisqally Glacier,46.783339,-121.760449,7500,NAGAP_77V6_277,urn:uuid:a9ed1de6-e742-4afa-82c7-357c143f6627,urn:uuid:80433640-7565-40b5-b01a-6fe2ed439c69,urn:uuid:fbddc195-1f3f-4755-ac9d-ceb2388ed508,both
1977.0,11/2/97,Nisqally Glacier,46.782181,-121.761946,7500,NAGAP_77V6_278,urn:uuid:287c773c-9cb2-4ba5-a115-67fa6ed5b3b5,urn:uuid:747cd791-3a10-483c-bf56-b3d0abe2c6a6,urn:uuid:32e9b0e1-da31-4c20-bc67-76a43254204b,both
